document,document_file_path,policy_reference_id,policy_title,section_id,policy_type,authority,effective_date,synthetic_policy,applies_to
"For FSC-style family 6505, covering synthetic Pharmaceuticals and Preventive Vaccines, the base minimum is 30 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6505","Synthetic Medical Stocking and Readiness Policy","2.1","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Pharmaceuticals; Preventive Vaccines"
"For FSC-style family 6509, covering synthetic Veterinary Pharmaceuticals, the base minimum is 21 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6509","Synthetic Medical Stocking and Readiness Policy","2.2","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Veterinary Pharmaceuticals"
"For FSC-style family 6510, covering synthetic Surgical Dressing Materials, the base minimum is 21 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6510","Synthetic Medical Stocking and Readiness Policy","2.3","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Surgical Dressing Materials"
"For FSC-style family 6515, synthetic Medical/Surgical items use a 21-day base minimum while synthetic Critical Care items use a 30-day base minimum. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6515","Synthetic Medical Stocking and Readiness Policy","2.4","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Medical/Surgical; Critical Care"
"For FSC-style family 6520, covering synthetic Dental Items, the base minimum is 14 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6520","Synthetic Medical Stocking and Readiness Policy","2.5","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Dental Items"
"For FSC-style family 6525, covering synthetic Biomedical Equipment, the base minimum is 30 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6525","Synthetic Medical Stocking and Readiness Policy","2.6","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Biomedical Equipment"
"For FSC-style family 6540, covering synthetic Optical Items, the base minimum is 14 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6540","Synthetic Medical Stocking and Readiness Policy","2.7","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Optical Items"
"For FSC-style family 6545, covering synthetic Replenishable Field Kits, the base minimum is 30 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6545","Synthetic Medical Stocking and Readiness Policy","2.8","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Replenishable Field Kits"
"For FSC-style family 6550, covering synthetic Diagnostic Kits and Reagents, the base minimum is 21 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6550","Synthetic Medical Stocking and Readiness Policy","2.9","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Diagnostic Kits/Reagents"
"For FSC-style family 6640, covering synthetic Laboratory Items, the base minimum is 21 days of supply. Add 7 days for MISSION_CRITICAL items, 3 days for HIGH items, and 0 days for ROUTINE items. Add 3 additional days when the customer location has mission_priority 4 or 5.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-6640","Synthetic Medical Stocking and Readiness Policy","2.10","stocking","Synthetic DLA Medical Demo Policy","2026-08-11","true","Laboratory Items"
"A synthetic customer-item position below its calculated minimum days of supply is a current readiness exception and should receive immediate review. A position within five days above its minimum is a near-threshold watch item, especially when backorders, late inbound supply, or supplier disruption are present.","policy/POL-001-medical-stocking-and-readiness.md","MED-STOCK-GENERAL","Synthetic Medical Stocking and Readiness Policy","5.1","readiness","Synthetic DLA Medical Demo Policy","2026-08-11","true","All medical supply positions"
"A customer-item position should receive immediate shortage-readiness review when current days of supply are below the applicable minimum days of supply.","policy/POL-002-shortage-escalation-and-emergency-sourcing.md","MED-ESC-001","Synthetic Shortage Escalation and Emergency Sourcing Guidance","2.1","escalation","Synthetic DLA Medical Demo Policy","2026-08-11","true","All medical supply positions"
"A position should receive elevated review when it is within five days above the applicable minimum days of supply and at least one of these conditions is present: backordered units greater than zero, late inbound units greater than zero, or an active disruption affecting the preferred supplier.","policy/POL-002-shortage-escalation-and-emergency-sourcing.md","MED-ESC-002","Synthetic Shortage Escalation and Emergency Sourcing Guidance","2.2","escalation","Synthetic DLA Medical Demo Policy","2026-08-11","true","Near-threshold positions"
"When the authoritative DataRobot shortage-risk model assigns a 30-day shortage probability of 70 percent or greater to a MISSION_CRITICAL or HIGH item, the planner should prepare a mitigation recommendation even if the position has not yet crossed its minimum stocking threshold. The predictive probability is a planning signal and must be reviewed with operational evidence before action.","policy/POL-002-shortage-escalation-and-emergency-sourcing.md","MED-ESC-003","Synthetic Shortage Escalation and Emergency Sourcing Guidance","3.1","predictive-escalation","Synthetic DLA Medical Demo Policy","2026-08-11","true","MISSION_CRITICAL; HIGH items"
"When mitigation is required, planners should first validate or expedite scheduled inbound supply, then review transfer options from lower-risk locations, then review alternate approved suppliers, and finally prepare emergency sourcing when ordinary replenishment cannot restore readiness in time. Transfers, supplier changes, and procurement actions require authorized human approval.","policy/POL-002-shortage-escalation-and-emergency-sourcing.md","MED-ESC-004","Synthetic Shortage Escalation and Emergency Sourcing Guidance","4.1","mitigation","Synthetic DLA Medical Demo Policy","2026-08-11","true","Escalated shortage positions"
"A preferred supplier should be flagged for performance review when its recent on-time delivery rate is below 85 percent. The planner should also consider shipment lateness, repeated disruptions, and quality-related events before concluding that supplier performance is contributing to readiness risk.","policy/POL-003-supplier-performance-escalation.md","MED-SUP-001","Synthetic Supplier Performance Escalation Policy","2.1","supplier-performance","Synthetic DLA Medical Demo Policy","2026-08-11","true","Preferred suppliers"
"An active manufacturing constraint, transportation delay, quality hold, cold-chain exception, raw-material shortage, or capacity reduction affecting the preferred supplier is supporting evidence of supplier-driven risk. A supplier event alone is not proof that a shortage will occur and should be evaluated with inventory, inbound supply, backorders, and predictive risk when available.","policy/POL-003-supplier-performance-escalation.md","MED-SUP-002","Synthetic Supplier Performance Escalation Policy","3.1","supplier-disruption","Synthetic DLA Medical Demo Policy","2026-08-11","true","Suppliers with active disruption events"
"Synthetic medical items marked cold_chain_required=true must remain within an approved temperature-controlled handling process during storage and transportation. A delay or cold-chain exception should be treated as a readiness concern until the affected material is confirmed usable; the agent must not assume usability after an exception.","policy/POL-004-cold-chain-readiness.md","MED-COLD-001","Synthetic Cold-Chain Readiness Policy","2.1","cold-chain","Synthetic DLA Medical Demo Policy","2026-08-11","true","Cold-chain-required items"
"When a cold-chain item is near or below minimum stock, planners should validate inbound supply and material usability, identify approved temperature-controlled inventory that could be transferred, review alternate cold-chain-capable sources, and escalate when replenishment cannot restore the required minimum in time. Any substitution, transfer, or procurement action requires authorized human approval.","policy/POL-004-cold-chain-readiness.md","MED-COLD-002","Synthetic Cold-Chain Readiness Policy","4.1","cold-chain-contingency","Synthetic DLA Medical Demo Policy","2026-08-11","true","Cold-chain-required positions near minimum stock"
